# Tour of Phase Diagram Complexities
experiment,P1C0,P1C1,P1C2,P2C0,P2C1,P2C2,P3C0,P3C1,P3C2,P4C0,P4C1,P4C2,P5C0,P5C1,P5C2,P6C0,P6C1,P6C2,P7C0,P7C1,P7C2,P8C0,P8C1,P8C2,P9C0,P9C1,P9C2,P10C0,P10C1,P10C2,P11C0,P11C1,P11C2,P12C0,P12C1,P12C2
1,1.1688142,19.12247637004394,8.826105804443358,0.00032750392,0.05652323169368145,-0.02235778808594091,0.00018717388,0.44478003946577616,0.003917846679684089,0.00023174573,0.2616623712571524,-0.006092567443850783,0.00018004875,-0.013142162610719765,0.019018783569336506,0.00022949153,0.9581063651401251,-0.008995704650878622,7.12666e-05,-1.076544303936899,-0.0002767181396450269,5.661141e-05,0.07815709890988387,0.00419334411621719,0.00010848732,-0.05241451383167828,-0.002158660888667896,3.2517717e-05,0.11182242724072466,0.004552307128903976,4.8160433e-05,0.07992527286272377,0.003285751342772869,3.0121684e-05,-0.1260458539952367,0.003067092895506107
2,1.1558422,16.572574366340724,10.102953414916989,0.00019901412,0.43526482847975245,0.03711402893066662,7.7501965e-05,0.05164429541913762,-0.032100944519044106,0.000115120696,-0.38459523934456996,-0.0018066024780267753,0.00035624602,0.2432072551212343,-0.10713577270507812,0.00033531894,0.09331772082439471,0.061030349731446165,0.00027615525,-0.7874151449066815,0.09532932281494055,4.167474e-05,-0.255398921927366,0.012989120483396732,8.934269e-05,-0.00490808263154463,0.002441101074225571,7.0248236e-05,0.21835040486105584,0.0013574981689430388,7.9626596e-05,-0.12190582976651854,-0.0002516174316440356,2.7770436e-06,0.04036110632084444,0.0058142089843755684
3,1.1269275,18.055866499785303,8.083814277648926,0.00021531415,-1.1777251818323435,0.03475818634033345,0.00012991179,-0.2793359503034125,-0.03705745697021712,0.00017609548,0.49396763339375127,-0.01903110504150618,0.00016411826,0.2412122052174439,0.020051689147948082,0.00040819295,0.09422175270398725,0.02324050903320085,0.00014555553,0.1983390213844416,0.010269126892090696,0.00018419794,0.03185751176195595,-0.002585067749024006,0.00011619191,0.09878005161610304,-0.008092422485347583,5.7161e-05,-0.09513209784003607,0.004150390625,3.339892e-05,0.07114168938650778,0.003983001708988354,0.00015010605,-0.11879965860377695,0.0029514312744112203
4,1.1918008,20.13712269625875,8.126260681152345,0.00011458474,-0.03657447473708686,0.005299530029297728,8.6884575e-05,-0.7479988296437128,0.18089275360107138,0.0003759259,-0.07209168776143571,0.014698677062987997,0.000112466594,0.35186420887751524,-0.06688739776611641,0.00038016992,-0.9966175488829094,-0.11377666473388359,0.00012541903,-0.531524122209575,-0.0014772796630850848,3.9355335e-05,-0.036697728330196355,0.034434967041022446,8.034504e-05,0.35749893593886384,-0.008725128173821872,8.504333e-05,-0.16545900014075698,0.01032058715820483,6.7592286e-05,0.0124029141012727,0.003483200073247872,2.450855e-05,-0.06418895543768599,0.00035034179687443157
5,1.1489439,17.564276688052956,8.793351593017576,0.00032126025,0.8303162100683892,-0.020060997009274217,6.797904e-05,0.06294104252829413,0.009075431823731606,0.00037236593,0.2670277204138074,0.04048954010009709,0.000103220635,-0.7396327259970263,-0.05549270629882841,0.00027930067,0.1611571053830474,0.029574356079102415,0.00010530529,-0.745116207987337,-0.0035445785522441042,8.75987e-05,0.46190319502392185,0.010124740600588211,6.704065e-05,-0.17341305951909192,-0.002096862792967613,6.322536e-05,-0.13238121713351347,0.002712249755859375,7.4793796e-05,-0.08904342671878851,-2.166748046761313e-05,4.3002816e-05,-0.020569011893911693,-0.0015993499755921903
6,1.1709728,18.978204759418766,8.830448112487794,0.00020602827,0.4014351516500838,0.036380767822265625,0.00014902698,-0.0049672049295779175,0.014329872131348509,0.00025996479,0.32099550299623303,-0.022284889221189985,9.5504365e-05,-0.10612109132151915,0.014973564147950924,0.00034998034,-0.5712337283369422,0.017971115112302982,0.00024408301,0.47509368373813743,0.019482536315919674,5.9026726e-05,-0.11563604722454102,0.026206893920900143,0.00012599096,-0.043013277044209985,-0.00842086791992358,2.0655461e-05,0.14093836884572397,-0.0007302856445363659,5.394315e-05,0.03531613690807944,0.0022021484375045475,1.9533767e-05,-0.07356208866434599,0.0027835845947237203
7,1.1679363,16.965305312081554,9.330149002075196,9.982421e-05,0.12341582608119239,0.09243167877197322,0.00016842676,0.9102822810592102,-0.0272773361206049,0.00039170685,-0.49698570575473866,-0.04877983093261662,0.00017932686,-0.33079854164751765,-0.01426586151123388,0.00024063812,-0.3990480939810581,0.010344505310058594,0.00010847509,-0.5757850168545176,0.040843849182131464,0.00021834948,-0.1440439243759215,0.007495727539065911,6.268037e-05,0.09214541448463365,0.0013777160644536934,0.0002666149,-0.0004599753458478517,0.006920547485350426,0.00012490233,0.05987388801321458,0.0013891601562505684,0.00017827257,-0.04100842714686337,-0.0013255310058610803
8,1.169037,16.809757171793727,8.799830398559571,0.00034844913,-0.341761239763656,-0.02449520111083814,0.00012621141,-0.542705086095495,-0.08775318145752209,0.00040535015,0.8688265387366698,-0.0095412445068348,0.00026229277,-0.41651085360661,0.03440299987792628,0.00037021397,0.04886248507985158,0.04749469757079794,0.00011277325,-0.07174205702551717,0.10159408569335682,2.519071e-05,0.02757595291394921,0.005324020385742756,9.3493276e-05,0.15895256113287815,0.013468246459964917,2.9071332e-05,0.16207078278249298,0.0035271453857461665,2.4963033e-06,0.07314007055634875,0.005516433715825997,3.8013437e-05,-0.042030145442964795,-0.009199981689448578
9,1.1062235,17.92317200139081,9.219489402770996,0.00022187192,1.4543856362703806,-0.09134429931640398,0.00013805438,1.3959453563434678,0.01842559814453182,0.0002977253,0.7565745273654514,0.014027786254885655,6.928388e-05,-0.4462775574855655,0.038457946777342045,0.00031011127,0.35757288275077315,-0.028382148742679192,0.000115555,-0.3426626987889989,-0.032754287719725994,7.713278e-05,0.16449592001649194,-0.0052246856689492915,8.829838e-05,-0.0017291301817863314,-0.0008639526367204553,7.914797e-05,0.12216338822243245,0.0033991241455026966,0.00018390513,0.0406097273831989,0.003049697875979973,3.389289e-05,-0.1597712692865656,0.0035886383056578097
10,1.1410089,16.708647804432957,7.909628562927246,0.00026442044,-0.5068194583896997,-0.029317550659179403,9.306517e-05,-0.5439733881610351,0.020529632568361933,0.0001102672,0.5942928174314588,0.007970848083495241,0.00015816487,-0.8945479893512456,0.017352333068849646,0.00025156446,-0.44133250299829285,0.007592887878416832,0.00015304526,-0.9803768637622596,-0.015305595397947513,2.1545922e-05,0.053366104524613434,0.013125305175776703,0.00017064752,-0.24745637418789102,-0.004171447753904545,8.6839245e-05,-0.014196385296060043,0.0019138336181612203,7.023914e-05,0.12216149039758761,-0.0004422760009816784,5.587911e-05,0.13466911258446146,0.002105407714850571
